-8.463927544653415680e-03,1.029949635267257690e-02,6.543724536895751953e-01,4.933473840355873108e-02,2.616772241890430450e-02,9.981945157051086426e-01,-2.211424149572849274e-02,6.514197587966918945e-02,-6.499908119440078735e-02,-8.524609729647636414e-04,1.511412709951400757e-01,-1.162203326821327209e-01,-5.163765046745538712e-03,7.482127845287322998e-02,3.095000423491001129e-02,-2.525860369205474854e-01,1.905267089605331421e-01,-1.694383770227432251e-01,-9.373803436756134033e-02,-2.934067510068416595e-02,1.996190520003437996e-03,-4.373128060251474380e-03,-1.018268615007400513e-01,1.392462015151977539e+00,8.156301826238632202e-02,7.464499026536941528e-02,-4.965898394584655762e-02,1.348354816436767578e+00
-8.425847627222537994e-03,9.092924185097217560e-03,6.545920372009277344e-01,4.829867556691169739e-02,2.519794367253780365e-02,9.982351064682006836e-01,-2.364174462854862213e-02,6.352214515209197998e-02,-6.576418131589889526e-02,-6.110204383730888367e-03,1.492290496826171875e-01,-1.146814301609992981e-01,-2.583065070211887360e-03,7.276808470487594604e-02,2.998531982302665710e-02,-2.543082833290100098e-01,1.902408599853515625e-01,-1.692224293947219849e-01,-9.092280268669128418e-02,-3.097037225961685181e-02,-5.970666185021400452e-03,-1.268238667398691177e-02,-1.068617552518844604e-01,1.385552048683166504e+00,7.872457802295684814e-02,7.178689539432525635e-02,-3.654940798878669739e-02,1.365756511688232422e+00
-8.412712253630161285e-03,7.756049279123544693e-03,6.550452709197998047e-01,4.675280675292015076e-02,2.348850481212139130e-02,9.983868598937988281e-01,-2.204964496195316315e-02,6.300693005323410034e-02,-6.721306592226028442e-02,-8.963426575064659119e-03,1.447925418615341187e-01,-1.140261292457580566e-01,2.336579374969005585e-03,7.616401463747024536e-02,3.488815948367118835e-02,-2.612636685371398926e-01,1.798388808965682983e-01,-1.669776886701583862e-01,-9.133064746856689453e-02,-2.965780347585678101e-02,-1.728466711938381195e-02,-2.841558679938316345e-02,-1.131274551153182983e-01,1.371819972991943359e+00,5.818596109747886658e-02,5.594485998153686523e-02,-1.327076368033885956e-02,1.405267477035522461e+00
-8.849475532770156860e-03,6.218293216079473495e-03,6.550250053405761719e-01,4.316152632236480713e-02,2.254692651331424713e-02,9.986219406127929688e-01,-1.956883259117603302e-02,6.033634394407272339e-02,-6.958431750535964966e-02,-8.370089344680309296e-03,1.410074830055236816e-01,-1.168765872716903687e-01,5.750551819801330566e-03,6.988169997930526733e-02,3.386560454964637756e-02,-2.625240385532379150e-01,1.770380586385726929e-01,-1.678497195243835449e-01,-8.857787400484085083e-02,-2.581913210451602936e-02,-2.521162852644920349e-02,-4.297085478901863098e-02,-1.292434483766555786e-01,1.350794196128845215e+00,2.718823216855525970e-02,3.485970944166183472e-02,4.058078676462173462e-02,1.425881624221801758e+00
-9.249785915017127991e-03,5.290514789521694183e-03,6.549472808837890625e-01,4.090603440999984741e-02,2.201579511165618896e-02,9.987338781356811523e-01,-1.930523291230201721e-02,5.756624042987823486e-02,-7.061858475208282471e-02,-1.111436076462268829e-02,1.409251242876052856e-01,-1.197335273027420044e-01,6.754857487976551056e-03,6.719268113374710083e-02,3.408226743340492249e-02,-2.620067000389099121e-01,1.742965281009674072e-01,-1.690188646316528320e-01,-8.737900853157043457e-02,-2.567668072879314423e-02,-2.905352227389812469e-02,-4.823048040270805359e-02,-1.427619755268096924e-01,1.339077472686767578e+00,1.101749204099178314e-02,2.384656108915805817e-02,7.844234257936477661e-02,1.426578998565673828e+00
-9.783481247723102570e-03,4.476572386920452118e-03,6.546017527580261230e-01,3.755725920200347900e-02,2.115866169333457947e-02,9.989157915115356445e-01,-1.757705770432949066e-02,5.203459784388542175e-02,-7.206054031848907471e-02,-1.458907220512628555e-02,1.445088982582092285e-01,-1.267334669828414917e-01,8.387205190956592560e-03,6.330770999193191528e-02,3.481551632285118103e-02,-2.576591372489929199e-01,1.699256002902984619e-01,-1.707779765129089355e-01,-8.558481931686401367e-02,-2.754764258861541748e-02,-3.698474913835525513e-02,-5.329047515988349915e-02,-1.697090864181518555e-01,1.323028206825256348e+00,-1.055608317255973816e-02,6.764585617929697037e-03,1.131011620163917542e-01,1.434864640235900879e+00
-1.026785466820001602e-02,4.165936727076768875e-03,6.544746756553649902e-01,3.509187698364257812e-02,2.058506943285465240e-02,9.990420937538146973e-01,-1.611653715372085571e-02,4.550613462924957275e-02,-7.285843044519424438e-02,-1.451043318957090378e-02,1.533242762088775635e-01,-1.352054029703140259e-01,1.018209941685199738e-02,5.938318744301795959e-02,3.346252813935279846e-02,-2.597454488277435303e-01,1.678166389465332031e-01,-1.708336919546127319e-01,-8.244433254003524780e-02,-3.166149556636810303e-02,-4.475420340895652771e-02,-5.527174100279808044e-02,-1.911455243825912476e-01,1.321443438529968262e+00,-2.252124622464179993e-02,-7.393966428935527802e-03,1.128761842846870422e-01,1.444280982017517090e+00
-1.051751989871263504e-02,4.085716325789690018e-03,6.544259786605834961e-01,3.318801149725914001e-02,2.026942558586597443e-02,9.991303086280822754e-01,-1.504542026668787003e-02,4.018428176641464233e-02,-7.282183319330215454e-02,-1.264997664839029312e-02,1.586228013038635254e-01,-1.389173865318298340e-01,1.133716106414794922e-02,5.642331764101982117e-02,3.348832577466964722e-02,-2.602416276931762695e-01,1.661199927330017090e-01,-1.699162870645523071e-01,-8.138673752546310425e-02,-3.206418454647064209e-02,-4.863305389881134033e-02,-5.575636029243469238e-02,-2.004246264696121216e-01,1.324481844902038574e+00,-2.676573954522609711e-02,-1.293949503451585770e-02,1.121143847703933716e-01,1.445521712303161621e+00
-1.120917126536369324e-02,3.642712021246552467e-03,6.541996002197265625e-01,2.848549000918865204e-02,2.019478939473628998e-02,9.993047118186950684e-01,-1.307060383260250092e-02,2.947496250271797180e-02,-7.419398427009582520e-02,-9.840866550803184509e-03,1.673281043767929077e-01,-1.458557248115539551e-01,1.372337806969881058e-02,4.919302091002464294e-02,3.171756863594055176e-02,-2.606832385063171387e-01,1.626255214214324951e-01,-1.684437245130538940e-01,-7.706585526466369629e-02,-3.151956945657730103e-02,-5.407078936696052551e-02,-5.673537403345108032e-02,-2.157793343067169189e-01,1.332923889160156250e+00,-3.361689299345016479e-02,-2.277754433453083038e-02,1.120721623301506042e-01,1.443215966224670410e+00
-1.264679618179798126e-02,3.121565794572234154e-03,6.539694070816040039e-01,2.454749681055545807e-02,2.048616670072078705e-02,9.994357824325561523e-01,-1.028828695416450500e-02,2.428352087736129761e-02,-7.586831599473953247e-02,-7.258288562297821045e-03,1.718476861715316772e-01,-1.530739516019821167e-01,1.393250189721584320e-02,4.430769756436347961e-02,2.908044867217540741e-02,-2.595559954643249512e-01,1.597453057765960693e-01,-1.693875193595886230e-01,-7.232414186000823975e-02,-3.006168641149997711e-02,-5.310054495930671692e-02,-5.649403110146522522e-02,-2.210195213556289673e-01,1.342468738555908203e+00,-3.652346879243850708e-02,-3.123785741627216339e-02,1.080365255475044250e-01,1.437377452850341797e+00
-1.358325593173503876e-02,2.787787932902574539e-03,6.538296341896057129e-01,2.257188595831394196e-02,2.072533406317234039e-02,9.994897246360778809e-01,-9.011941961944103241e-03,2.319290302693843842e-02,-7.694920897483825684e-02,-6.666291505098342896e-03,1.723911762237548828e-01,-1.565518081188201904e-01,1.377431210130453110e-02,4.214642196893692017e-02,2.726159058511257172e-02,-2.591310441493988037e-01,1.581200361251831055e-01,-1.702247560024261475e-01,-6.900152564048767090e-02,-2.981366775929927826e-02,-5.056196078658103943e-02,-5.614935979247093201e-02,-2.184536457061767578e-01,1.347597479820251465e+00,-3.709769994020462036e-02,-3.494757041335105896e-02,1.040767729282379150e-01,1.433231234550476074e+00
-1.558062527328729630e-02,1.894189743325114250e-03,6.534665822982788086e-01,1.703229360282421112e-02,2.109820395708084106e-02,9.996109604835510254e-01,-6.537670269608497620e-03,1.856437884271144867e-02,-7.883649319410324097e-02,-5.661096423864364624e-03,1.724637150764465332e-01,-1.652208566665649414e-01,1.130424346774816513e-02,3.632852062582969666e-02,2.232708036899566650e-02,-2.601880729198455811e-01,1.537648290395736694e-01,-1.735477000474929810e-01,-5.816045776009559631e-02,-2.928785979747772217e-02,-4.283571615815162659e-02,-5.503500998020172119e-02,-2.045509368181228638e-01,1.357492089271545410e+00,-4.244346171617507935e-02,-4.078853130340576172e-02,9.992121160030364990e-02,1.425748229026794434e+00
-1.801224425435066223e-02,9.454087703488767147e-04,6.530005335807800293e-01,1.028856821358203888e-02,2.139279432594776154e-02,9.997099637985229492e-01,-4.066758789122104645e-03,1.180330477654933929e-02,-8.009642362594604492e-02,-3.054001834243535995e-03,1.752853244543075562e-01,-1.881477832794189453e-01,3.177477279677987099e-03,3.350889682769775391e-02,1.934985443949699402e-02,-2.615295052528381348e-01,1.458988785743713379e-01,-1.814027279615402222e-01,-4.475904256105422974e-02,-2.702380903065204620e-02,-3.192270547151565552e-02,-5.426321923732757568e-02,-1.862338781356811523e-01,1.367308378219604492e+00,-4.875847697257995605e-02,-4.548870027065277100e-02,9.804223477840423584e-02,1.418583393096923828e+00
-1.979509741067886353e-02,3.132198180537670851e-04,6.528946757316589355e-01,7.588759530335664749e-03,2.187638357281684875e-02,9.997259378433227539e-01,-3.453303361311554909e-03,9.012981317937374115e-03,-8.126411586999893188e-02,-3.545673098415136337e-03,1.833884119987487793e-01,-2.125971615314483643e-01,7.669181795790791512e-04,3.464918956160545349e-02,1.716297678649425507e-02,-2.633620798587799072e-01,1.419379711151123047e-01,-1.881646066904067993e-01,-3.597294166684150696e-02,-2.536192908883094788e-02,-2.471020258963108063e-02,-5.465739965438842773e-02,-1.783871650695800781e-01,1.372334599494934082e+00,-4.744771867990493774e-02,-4.849264025688171387e-02,9.301041066646575928e-02,1.414378046989440918e+00
-2.404384128749370575e-02,-8.808170678094029427e-04,6.523464918136596680e-01,1.070480095222592354e-03,2.230817638337612152e-02,9.997505545616149902e-01,-5.766120739281177521e-05,-3.876928938552737236e-03,-8.374214172363281250e-02,-4.645949520636349916e-04,2.130236625671386719e-01,-2.680816352367401123e-01,4.375224467366933823e-03,2.900266274809837341e-02,1.242967322468757629e-02,-2.615908980369567871e-01,1.465085595846176147e-01,-2.061937600374221802e-01,-2.151496708393096924e-02,-1.676599681377410889e-02,-1.012400165200233459e-02,-5.337050184607505798e-02,-1.651950329542160034e-01,1.381461381912231445e+00,-3.850553184747695923e-02,-5.020963400602340698e-02,7.800311595201492310e-02,1.406945824623107910e+00
-2.888889051973819733e-02,-2.391687361523509026e-03,6.511564254760742188e-01,-6.790659856051206589e-03,2.167179621756076813e-02,9.997302889823913574e-01,4.858193919062614441e-03,-2.195530943572521210e-02,-8.381794393062591553e-02,7.250845432281494141e-03,2.447766810655593872e-01,-3.088428080081939697e-01,7.203448563814163208e-03,5.302085541188716888e-03,4.644999280571937561e-03,-2.570903003215789795e-01,1.918761879205703735e-01,-2.461030334234237671e-01,-9.153310209512710571e-03,-6.059500854462385178e-03,5.380810471251606941e-04,-4.910856112837791443e-02,-1.564552336931228638e-01,1.392742395401000977e+00,-2.775373682379722595e-02,-4.856350272893905640e-02,6.396985054016113281e-02,1.403946995735168457e+00
