-1.052703380584716797e+00,-4.045900423079729080e-03,8.504087328910827637e-01,-8.075538091361522675e-03,5.367021262645721436e-02,1.987613737583160400e-02,9.983282089233398438e-01,7.540977001190185547e-02,-4.442932009696960449e-01,1.578961759805679321e-01,1.356277316808700562e-01,7.508744299411773682e-02,-4.459654539823532104e-02,5.039143562316894531e-02,9.007158875465393066e-02,4.725541174411773682e-02,1.180274784564971924e-02,-1.928414702415466309e-01,-3.447540476918220520e-02,5.644991621375083923e-02,-5.038920324295759201e-03,1.573279127478599548e-02,6.177198886871337891e-02,1.498192399740219116e-01,1.993222683668136597e-01,1.413191556930541992e+00,-7.085290551185607910e-02,1.144851222634315491e-01,-2.065911702811717987e-02,-6.970869004726409912e-02,-1.435975581407546997e-01,1.392253115773200989e-02,1.277410507202148438e+00,4.915749654173851013e-02,6.663214415311813354e-02,-1.897338777780532837e-03
-1.037837147712707520e+00,8.361897780559957027e-04,8.481919765472412109e-01,-8.594305254518985748e-03,5.415217950940132141e-02,1.951014436781406403e-02,9.983050823211669922e-01,6.307861953973770142e-02,-4.374015331268310547e-01,1.446330547332763672e-01,1.247335374355316162e-01,2.664652280509471893e-02,-5.824430659413337708e-02,4.652602598071098328e-02,9.234434366226196289e-02,3.934524580836296082e-02,4.014305770397186279e-02,-2.069108933210372925e-01,-3.214867413043975830e-02,5.159706994891166687e-02,2.126796869561076164e-03,1.587238349020481110e-02,7.469576597213745117e-02,1.539733558893203735e-01,2.040877789258956909e-01,1.419795989990234375e+00,-7.180813699960708618e-02,1.211758777499198914e-01,-1.548915635794401169e-02,-7.062776386737823486e-02,-1.397524029016494751e-01,1.253868732601404190e-02,1.277985334396362305e+00,4.979573935270309448e-02,6.833658367395401001e-02,-7.051765918731689453e-03
-1.020623564720153809e+00,6.193867418915033340e-03,8.464314937591552734e-01,-6.543699651956558228e-03,5.292507633566856384e-02,1.717720739543437958e-02,9.984292984008789062e-01,4.498305171728134155e-02,-4.257193803787231445e-01,1.209864318370819092e-01,1.357522606849670410e-01,1.209828443825244904e-02,-3.842808306217193604e-02,3.610110655426979065e-02,9.269211441278457642e-02,3.226183727383613586e-02,8.346695452928543091e-02,-2.294187545776367188e-01,-2.824879437685012817e-02,3.847441449761390686e-02,1.526452600955963135e-02,1.766470260918140411e-02,8.798031508922576904e-02,1.586018651723861694e-01,2.105527371168136597e-01,1.424666643142700195e+00,-6.809857487678527832e-02,1.240130588412284851e-01,-1.106704864650964737e-02,-6.937804818153381348e-02,-1.352382600307464600e-01,1.149864867329597473e-02,1.280776739120483398e+00,4.941652715206146240e-02,6.755273789167404175e-02,-1.135157980024814606e-02
-9.941360354423522949e-01,1.338249910622835159e-02,8.456361293792724609e-01,-4.396767355501651764e-03,4.846676439046859741e-02,9.860994294285774231e-03,9.987664222717285156e-01,2.777864038944244385e-02,-3.996388316154479980e-01,1.089240610599517822e-01,1.580781936645507812e-01,2.418322488665580750e-02,-3.565895836800336838e-03,2.227071113884449005e-02,8.336009830236434937e-02,3.259571269154548645e-02,1.758017390966415405e-01,-2.684935033321380615e-01,-2.178110368549823761e-02,2.110466361045837402e-02,3.521541878581047058e-02,2.056842483580112457e-02,1.083454787731170654e-01,1.641126424074172974e-01,2.221903800964355469e-01,1.426318168640136719e+00,-6.080361828207969666e-02,1.258617192506790161e-01,-8.642743341624736786e-03,-6.315392255783081055e-02,-1.290916800498962402e-01,7.703507319092750549e-03,1.285805583000183105e+00,4.397391527891159058e-02,6.017669662833213806e-02,-1.167183369398117065e-02
-9.724773764610290527e-01,1.905943825840950012e-02,8.469075560569763184e-01,-1.930082333274185658e-03,4.428708180785179138e-02,2.691139467060565948e-03,9.990133643150329590e-01,1.452356949448585510e-02,-3.746735453605651855e-01,1.003376916050910950e-01,1.656783521175384521e-01,7.455830276012420654e-02,1.168208010494709015e-02,9.150858037173748016e-03,5.545357987284660339e-02,2.946628257632255554e-02,2.868902087211608887e-01,-3.012102544307708740e-01,-1.213371846824884415e-02,5.874980241060256958e-03,4.925433173775672913e-02,2.188282646238803864e-02,1.234696432948112488e-01,1.663064658641815186e-01,2.340556085109710693e-01,1.424256920814514160e+00,-5.259596556425094604e-02,1.258319318294525146e-01,-3.684675553813576698e-03,-5.785592272877693176e-02,-1.248491629958152771e-01,6.597164552658796310e-03,1.291742444038391113e+00,4.335739836096763611e-02,4.980912432074546814e-02,-1.191839389503002167e-02
-9.513536095619201660e-01,2.558184787631034851e-02,8.497545719146728516e-01,4.032995551824569702e-03,3.983720391988754272e-02,-1.853163703344762325e-03,9.991963505744934082e-01,-1.352613233029842377e-02,-3.500389754772186279e-01,7.648301869630813599e-02,1.863933354616165161e-01,6.659005582332611084e-02,2.267253026366233826e-02,-1.404069550335407257e-02,4.226258955895900726e-03,1.225473359227180481e-02,4.326495528221130371e-01,-3.133118152618408203e-01,2.946318825706839561e-03,-1.619764417409896851e-02,5.901963263750076294e-02,2.387976646423339844e-02,1.322812288999557495e-01,1.662906855344772339e-01,2.372727543115615845e-01,1.423612833023071289e+00,-3.789478912949562073e-02,1.261382997035980225e-01,4.648783709853887558e-03,-5.373265594244003296e-02,-1.214797496795654297e-01,3.924716729670763016e-03,1.298132777214050293e+00,4.499991610646247864e-02,3.577950224280357361e-02,-1.189846731722354889e-02
-9.234302043914794922e-01,3.467235714197158813e-02,8.532761931419372559e-01,1.300121191889047623e-02,3.170991688966751099e-02,-3.410186152905225754e-03,9.994067549705505371e-01,-5.543147027492523193e-02,-3.072465062141418457e-01,3.980844840407371521e-02,2.067694365978240967e-01,3.200148791074752808e-02,2.745509147644042969e-02,-5.376808717846870422e-02,-8.183129131793975830e-02,-2.221990004181861877e-02,6.432093381881713867e-01,-2.620826065540313721e-01,3.148439526557922363e-02,-4.799982160329818726e-02,6.466333568096160889e-02,3.263930231332778931e-02,1.271537244319915771e-01,1.668501645326614380e-01,2.193144857883453369e-01,1.429701685905456543e+00,-2.579501457512378693e-02,1.281709372997283936e-01,1.587063819169998169e-02,-4.782519862055778503e-02,-1.175615116953849792e-01,-8.606542833149433136e-03,1.302140712738037109e+00,4.146844893693923950e-02,2.643111348152160645e-02,-1.102313864976167679e-02
-9.026132822036743164e-01,4.013701155781745911e-02,8.542776703834533691e-01,1.924240961670875549e-02,2.601216919720172882e-02,-2.905428409576416016e-03,9.994722008705139160e-01,-8.036100864410400391e-02,-2.690704464912414551e-01,3.146852552890777588e-02,2.109526097774505615e-01,-6.532382685691118240e-03,3.241619840264320374e-02,-8.105254918336868286e-02,-1.573916822671890259e-01,-3.613261505961418152e-02,7.923246622085571289e-01,-1.110446900129318237e-01,2.707445621490478516e-02,-7.100646197795867920e-02,6.456042826175689697e-02,3.913452848792076111e-02,1.130717769265174866e-01,1.676905304193496704e-01,1.940499395132064819e-01,1.438508510589599609e+00,-3.705042973160743713e-02,1.305258870124816895e-01,2.033247612416744232e-02,-4.189196601510047913e-02,-1.157004758715629578e-01,-1.976356096565723419e-02,1.301887392997741699e+00,4.383046925067901611e-02,2.682998403906822205e-02,-1.312812790274620056e-02
-8.840693235397338867e-01,4.425184428691864014e-02,8.552403450012207031e-01,2.147034555673599243e-02,2.296873927116394043e-02,-2.322697080671787262e-03,9.995028972625732422e-01,-9.146390110254287720e-02,-2.384590655565261841e-01,3.243986889719963074e-02,2.125462889671325684e-01,-3.880122676491737366e-02,3.776491805911064148e-02,-9.645205736160278320e-02,-2.275265604257583618e-01,-4.815568402409553528e-02,8.981432914733886719e-01,4.996555391699075699e-03,3.854971844702959061e-03,-8.246494829654693604e-02,5.756065621972084045e-02,4.206759110093116760e-02,9.288252145051956177e-02,1.668532639741897583e-01,1.690094172954559326e-01,1.443030476570129395e+00,-4.929241538047790527e-02,1.333063542842864990e-01,1.902686432003974915e-02,-3.754182904958724976e-02,-1.193987503647804260e-01,-2.182412147521972656e-02,1.300608873367309570e+00,4.981438443064689636e-02,3.103513456881046295e-02,-1.356246229261159897e-02
-8.630139827728271484e-01,4.956589639186859131e-02,8.574014306068420410e-01,1.885380409657955170e-02,2.153182029724121094e-02,1.038727466948330402e-03,9.995898604393005371e-01,-9.383226186037063599e-02,-2.056673020124435425e-01,2.490479126572608948e-02,2.096056491136550903e-01,-6.800350546836853027e-02,4.394441097974777222e-02,-1.063472628593444824e-01,-3.043799698352813721e-01,-7.320496439933776855e-02,9.689545631408691406e-01,-3.308330103754997253e-02,1.023675780743360519e-02,-8.092784881591796875e-02,3.821116685867309570e-02,4.208244010806083679e-02,5.580217018723487854e-02,1.616088598966598511e-01,1.341311335563659668e-01,1.443681120872497559e+00,-5.835179239511489868e-02,1.363067030906677246e-01,7.900044322013854980e-03,-3.086098842322826385e-02,-1.280879080295562744e-01,-2.282622270286083221e-02,1.298791050910949707e+00,4.485891386866569519e-02,3.916509822010993958e-02,-1.549035776406526566e-02
